Start Time,End Time,Transcription
0,2, СОФИЯ
30,"34,68"," Той беше обещал, че ще я сълбажда, че ще я търси, но просто изчезна."
"35,46","38,1"," Тя много страдаше, много плачеше."
39,"42,92"," Аз по някакъв начин исках да компенсирам неговата липса,"
"43,52","47,3"," затова си позволих да ѝ купувам всичко, каквото иска това да ѝ дам,"
"47,96","50,12", обаче с годините ми се качи на главата.
"51,12","54,04"," Отношенията между майка и дъщеря се влушават още повече,"
"54,4","56,38"," когато новият приятел на Лилияна, Теодор,"
"56,38","59,96", се нанася да живее при тях заедно с сина си Николай.
60,"65,16", Дори и най-дредната молба за помощ от страна на майката става повод за скандал.
"65,68","66,88", Тая няма да стане.
"67,14","72,02"," Ако мама смята да им оправя мизерите на тези навлици, Теодор и Николай, няма да го бъде."
"72,4","73,52", Не те не са ми никакви.
"73,56","75,8"," Аз съм си в моята къща и ще си правя това, което искам."
"76,22","79,38"," Направо се ужасих, като видях какво си позволява това момиченце."
"79,88","81,44", Върти майка си на малкият си пръс.
"82,32","85,84"," А най-лощото е, че Лили за всичко и се подчинява."
"85,84","91,3"," А аз ако бях на едно място, отдавна ще бях превъзпитал, но за сега не искам да се меся."
"92,06","96,36", Най-же веднъж Лили направила забележка да си ляга по-рано.
"96,82","99,8", И тя започна да замеря с обувки и Лили се скигва в друга стая.
"100,14","101,08", Това е пълен абсурдно.
"101,94","105,98", Заради поведението на Велина зачастяват и скандалите между Лилиана и Тодор.
"106,22","107,04", Това не е нормално.
"107,46","112,84"," Само и само Велина да не спадне в поредната истерия, майка й огажда и купува всичко."
"113,54","115,82", Дори последни пъти беше взела парцалки.
"115,84","116,88", Парцалки за 200 лева.
"117,6","122,18"," И това при положение, че работи като продавачка и парите два ми стига да си плати найма."
"122,3","124,32", Според мен това е голяма грешка.
"124,72","127,3", Мразя Велина да ми прави сцени по магазините.
"128,18","130,06"," Затова и купувам всичко, което поиска."
"131,18","136,1"," Предпочитам да останеме без пари, отколкото да се караме по улиците и хората да ни гледат."
"137,06","138,84", Велина просто не си знае мярката.
"139,3","141,4", Трябва да се покаже до къде мога да се налага.
"141,66","144,5"," Ужасно е разглезена и си мисли, че всичко е позволено."
"144,5","145,5", Аз обаче няма да й позволя.
"145,84","146,92", Няма да й позволя да не разиграва.
"150,2","152,76", Ситуацията в семейството се влушава с всеки изминал ден.
"155,48","159,44", Синът на Теодор Николай също страда от агресивното поведение на Велина.
"160,36","161,64", Та Велина е ненормална.
"161,76","163,84"," Какво ти да ѝ кажеш, само започва да крещи."
"164,14","165,8"," Това не ми е пипай, онова не ми е пипай."
"166,74","169,7"," Ако си мисли, че на мен ми е хубаво да живеем заедно с нея, жестоко се улежа."
"169,96","170,94", Не знам какво да правя.
"171,46","175,68"," Колкото да обичам Лили, не знам още колко дълго ще издържиме с Никитук."
"175,84","180,42"," Тя трябва да престане да отстъпва и да обясни на малката лигва, че светът не се върти около нея."
"180,96","182,62"," Ако това не стане, може би ще ме загуби."
"195,16","199,88"," След няколко дни, Велина е на рожден ден на приятелка и иска да ѝ купи блуза за подарък."
"200,34","202,76", Лилиана и Теодор я придружават по магазините в Мола.
"203,3","205,64"," Теодор предварително е говорил с приятелката си,"
"205,84","208,6", и е предупредил да не купува нищо друго.
209,"212,56"," Той е сигурен обаче, че Велина ще поиска да купя дрехи и за нея."
"215,56","216,56"," Е, готова съм!"
"217,06","218,06"," Какво е това бе, мама?"
"218,56","220,32", Нали се разбрахме да вземе само едно нещо?
"220,32","223,02"," Да, но и те са много хубави. Знаеш колко яко ще ми седят?"
"223,02","226,76"," Разбирам те, мамо, че ще си седят, но нали сме дошли само подарък да вземем?"
"227,02","229,02"," Е, да, но моля те, моля те!"
"229,02","231,02"," Моля ти се, Велина не ми си ина ти, мама."
"231,02","232,02", Ти си виновен!
"232,02","232,52", Моля?
"232,52","235,52"," Що меката ти е казала, че ще получиш една буза и една буча ще получиш?"
"235,52","236,52", И аз не ме...
"236,52","238,52"," Велина, моля те, какво мислиш да правиш?"
"238,52","240,52"," Хайде да тръгваме, но ще не ме се разбереме."
"240,52","242,52"," Хайде, взимаме едно нещо и си тръгваме."
"242,52","243,52"," Велина, чуваш ли?"
"243,52","245,52"," Абе, Велина, чуваш ли?"
"245,52","247,52"," Велина, чакай бе, какво ти става?"
"247,52","248,52", Добре ли си?
"248,52","249,52"," Добре съм, добре съм."
"249,52","250,52", Нищо ми няма.
"250,52","251,52", Сигурна си?
"251,52","252,52", Сигурна съм.
"252,52","253,52", Хайде да тръгваме.
"253,52","255,52"," Искаме, момичен, с това държане нищо няма да получиш."
"255,52","259,52"," Тот тапанар, Теодор, ако си мисли, че ще стане това, което иска, много се лъжи."
"259,52","261,52"," Не говоря о мама, да не ми купуват дрехи."
"261,52","266,52", По-добре е с мама да се скарат и двамата с сина му да се разкарат от вкъщи.
"266,52","270,52", Не знам какво да правя. Велина стана много лошо дете.
"270,52","273,52"," Нямам сили, не знам вече как и да се оправим с нея."
"273,52","281,52"," Мисля, че това, че си имам нов мъж до себе си, нова връзка, я кара да бъде толкова раздразнителна."
"283,52","285,52"," И това ще бъде, ще се оправят."
"285,52","289,52"," Това момиче е направил изпусната работа. Не можах да повярвам, че посегна на майка си."
"289,52","294,52", Не знам. В началото мислех да остава Лили сама да се оправи с ситуацията.
"294,52","299,52", Все пак тя е майка. Но не издържах като видях какво става.
"299,52","302,52"," Ядостах се, така се ядостах, че по едно време даже не можех да говоря."
"304,52","309,52"," По-късно през деня, Теодор решава да повдигне въпроса за поведението на Велина."
"309,52","312,52"," Той избира момент, когато двете деца са навън с приятели."
"313,52","317,52"," Лили, мисля, че Велина съвсем те се качила на главата."
"317,52","319,52"," Кога да стига, ако пусти на главата?"
"319,52","321,52", Трябва да направиш нещо. Станало е неотбръжимо.
"321,52","324,52"," Добре, какво да направя? Според тебе, хвана да я набия ли?"
"324,52","330,52"," За бой и дума да не става. Може да й обясниш просто, че всеки от нещо има граници и тя не може да си позволява всичко."
"330,52","335,52"," И сега тя е изнервена от цялата обстановка, за това, че живееме заемали с съна баща и..."
"335,52","342,52"," Тя е виждала, че липсата на баща ѝ, примерно, ѝ оказва голямо влияние, но не може тя постоянно с това нещо да си извинява."
"342,52","345,52"," Ами ако... да я убие някой, какво ти става?"
"345,52","349,52", Ало... ти си направила за лекар. Много лоша синка.
"349,52","351,52"," Абе, лекар. Утре ще мине."
"351,52","356,52"," И друго, как може 13 годишна момичен с такава посягана майка си? Виж какво ти е направила."
"356,52","360,52"," Виж сега, за това нещо съм си виновна аз. Аз ако имах пари..."
"360,52","365,52"," Не, нищо не разбираш. Какви пари? Ти постоянно й купуваш разни неща и с тя става егоист."
"365,52","370,52"," И си мисли, че с пари мога да замени всичко. Тя трябва да поеме отговорност върху действията си."
"370,52","373,52", Не може всичко да се купува с пари и подаръци. Постоянно й правиш подаръци.
"373,52","374,52"," Добре, защо гледаш..."
"374,52","376,52", Постоянно й правят лоша услуга. Разбери ме.
"376,52","381,52"," Добре, защо гледаш само моята дъщеря? Погледни сина ти какво прави. Първо гледай твоя син, след това говори за дъщеря ми."
"381,52","382,52", Ники... Ники...
"382,52","390,52"," Ники е добро момче и въобще не ми поставя с такива ситуации. Дори да не ме чуваш аз какво говоря, погледни доказателствата. Виж си ръката."
"390,52","392,52", Тя е още дете. Тя няма вина за това нещо.
"392,52","397,52"," Не може да я оправдаваш постоянно, дете. Утре ще порасне и ще се държи по същия начин."
"397,52","404,52"," Трябваше да поговоря с Лили, защото тя се държи с дъщеря и сякаш нищо не е станало. Не може така. Трябва да й се опълчи."
"404,52","412,52"," Лили не се държи като родител, а се държи с едно починено на дъщеря й. Може да ми се разсърди, но аз тия неща ги казвам за не е добро. Искам да ѝ отворя очите."
"412,52","423,52", Може нестина да съм прекалено мека с Лилина. Това е защото много я обичам. Не искам да я нараня. Тя все още е дете. Всички тинейджери са такива.
"423,52","431,52", На следващата сутрин Лилиана е принудена да отиде на лекар. Тя цяла нощ не успява да мигне заради болки в наранената си ръка.
"431,52","433,52", Ох... Ох...
"434,52","440,52"," О, не изглежда никак добра. Това е вътрешен кръвоизлив."
"440,52","443,52"," Не мислех, че е нещо толкова сериозно."
"443,52","453,52"," Ами, доста е сериозно. Всяко такова нараняване е доста сериозно. Имате нараняване по цялата ръка. Не само там."
"453,52","455,52"," Да, да. И там се ударих."
"455,52","457,52"," Ей, добре. Как точно стана?"
"457,52","459,52"," Ами, паднах и се ударих."
"459,52","463,52", Паднахте. Добре. Ще ви напиша една рецепта за мехлем.
"464,52","469,52", Жената се държеше доста странно. Изглеждеше объркана и претеснена.
"471,52","474,52"," Помислих, че може би става дума за домашно насилие."
"474,52","478,52"," А жените в такива случаи не казват, ако мъжете им ги мултратират."
"478,52","482,52"," Сигурни сте, че това нараняване е отпадане?"
"482,52","484,52", Не точно.
"485,52","490,52"," Добре. Ако има някакъв проблем, може да ми кажете. Това мъжът ви ли го направи?"
"490,52","492,52"," Не. Не, в никакъв случай."
"492,52","493,52", Защо?
"493,52","497,52", Вчерия ми бяхме в магазина. Искаше да купя няколко дрешки.
"497,52","502,52"," Тя много се ядоса, защото нямах пари да ги купя. И се сдърпахме."
"502,52","505,52", Дъщеря ви. Добре. Тя на колко е години?
"505,52","507,52", На 13-та.
"507,52","513,52"," Ами, обранете внимание, защото такова поведение и такова нараняване са доста опасни."
"513,52","518,52"," Ако креолазива не изчезне до една семеница, трябва да дойдете пак при мен."
"523,52","526,52", Ви ли не е било много бързо да се върнете в тази ситуация?
"526,52","530,52", Само това ми липсваше и лекарите да ми дават съвети за дъщеря ми.
"530,52","535,52"," Аз съм сигурна, че Велина съжалява за тази постъпка и ще си обмисля грешките."
"535,52","538,52", Аз много добре знам как да възпитавам дъщеря си.
"539,52","542,52", Две седмици по-късно Никола е изключително ентусиазиран.
"542,52","545,52"," Днес е премиерата на филма, който той чака от месеци."
"545,52","550,52"," Теодор е решил, че ще бъде хубаво, че тримата да отидат на кино като семейство."
"550,52","554,52"," Айде, бързо! Велина, защо се бави толкова? Ще вземем да закъснем на края за филма."
"554,52","557,52"," Велина, хайде лао, остави кучето!"
"557,52","563,52", Не ми се ходи и на кино! Колко пъти да ви казвам? Този филм е супер тъп и само идиотите ходят да го гледат.
"563,52","565,52"," Велина, веднага се качай в колата!"
"565,52","570,52"," Велина, чуваш ли ме? Остави кучето на Сашка. Знаеш ли Ники от колко време иска да го гледа този филм?"
"570,52","573,52"," Остави ме, искам да си играя с кучето!"
"573,52","576,52"," Велина, веднага ако не се качиш в колата, тръгваме без теб."
"576,52","577,52", Тръгвайте!
"577,52","580,52"," Така ли? Качвай се, Велина, в колата тръгваме."
"580,52","582,52"," Теодор, аз няма да дойда, няма да оставя дъщеря сама."
"582,52","583,52", Ти сериозно ли говориш?
"583,52","586,52"," Да, сериозно ти говоря. Няма да ми е спокойно без нея."
"586,52","588,52"," Добре, тогава ние тръгваме с Ники."
"593,52","596,52"," Момиче, виж какво ме направи сега. Заради тебе се скарах с тя."
"596,52","599,52"," Направо поводях, като видях, че Велина пак създава проблеми."
"599,52","601,52"," Тя нарушно ги прави тези неща, за да ни развали настроението."
"601,52","604,52", Един път не може да излезем като хората заради нея.
"604,52","609,52"," Лили също ме я досада, защото отстъпи и подкрепи отново прищетките на дъщеря си."
"609,52","611,52", За малко да закъснеем за филма заради Велина.
"611,52","615,52", Напоследък правим каквото тя каже и това страшно ме дразни.
"615,52","617,52", По-добре си бяхме само двамата с баща ми.
"617,52","624,52", Няколко часа по-късно Теодор и Николай играят на електронна игра.
"624,52","629,52"," Бащата все още е ядосан на Велина за това, че успява да се сипе семейното ходене на кино."
"629,52","632,52", Той изобщо не иска да обръща внимание на момичето.
"632,52","636,52"," Очакай, прави малко прединство на бащата."
"636,52","638,52", Искам и аз да играя.
"638,52","640,52"," Махни се, пречеш ни."
"640,52","643,52", Това си е моята къща и ще седя където си искам. Та пак.
"643,52","646,52"," Велина, не ми е до теб сега, моля ти се знае защо."
"646,52","649,52"," Ами добре, след като не мога да играя ще седя тук."
"649,52","651,52", Махни се от телевизора.
"651,52","652,52", Няма.
"652,52","653,52"," Махни се, пречеш ни."
"653,52","654,52", Няма.
"654,52","656,52"," Велина, веднага се махни от телевизора."
"656,52","657,52", Няма.
"657,52","659,52"," Навлици изкапани, мразяви."
"659,52","662,52"," Ох, понякога ми идва да пребият тоя Николай."
"662,52","665,52"," Само ако бях малко по-силна, стях да му опрасна един."
"665,52","668,52", Мама от Теодор и Николай ме дразнят.
"668,52","669,52", Какво става?
"669,52","671,52", Ами не ми дава да играя с тях.
"671,52","673,52", Ти пак и си заеден с тях?
"673,52","675,52"," Не, нищичко не съм направила."
"676,52","679,52"," Не ми дава да играя, но тогава искам като кучето на Сашка."
"679,52","681,52", Какво се разбрахме за това куче?
"681,52","684,52"," Много добре знаеш, че Ники има алергия и не може да си го позволим."
"684,52","686,52", Хич не ми показа алергията му.
"686,52","688,52", Ти ми обеща за рождения ми ден.
"688,52","692,52"," Да, знам какво съм ти обещала, но не знаех, че те ще дъла да живеят тук при нас."
"692,52","694,52", Значи някакъв си Николай е по-важен от мен?
"694,52","697,52"," Мила, не дай да говориш така. Не е така."
"697,52","699,52"," Ти ми обеща, мразя те!"
"703,52","706,52"," Надявах се, че е минал ме ракът за кучето."
"706,52","709,52", Но няма как да стане заради алергията на Ники.
"709,52","712,52"," За съжаление, пак разочаровах дъщеря си."
"712,52","715,520", Мама няма да ми купи куче заради тоя кретен Николай.
"715,52","718,52", От къде на къде всички трябва да се съобразяваме с него.
"718,52","723,52"," Да щяло да се изприща ми още по-добре, да се изприща ни ми пука за него."
"723,52","727,52", Три дни по-късно Лиляна излиза на кафе с приятелката си Карина.
"727,52","731,52", Предната вечер двамата с Теодор отново се скарват заради Велина
"731,52","735,52", и сега 37 годишната жена търси съвет от своята приятелка.
"736,52","740,52"," Теодор се скари, не знам какво да прави. Вели е станало непоносимо дете."
"740,52","742,52", Какво е станало пак?
"742,52","747,52", Какво е станало? Миналата вечер с Тео трябваше да излезем на вечеря.
"747,52","751,52", Обаче тя искаше да остана с нея да реда пъзел.
"751,52","754,52", Бях ѝ обещала и останах при нея.
"754,52","756,52", Тео излезе само.
"756,52","760,52", Преди това много жестоко се скарахме и не знам.
"760,52","765,52", Нормално е. Мъжете също и сте внимание. Особено когато си поел ангажимент.
"765,52","766,52", Да.
"766,52","772,52"," Мисля, че Вели те работи много сериозно в тая връзка."
